genero,semana,fase,pool,local,data,time_mandante,time_visitante,placar_sets,set1,set2,set3,set4,set5,status
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,07/06/2026,China,Polônia,3-2,,,,,,Realizado
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,17/06/2026,Alemanha,China,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,17/06/2026,França,Brasil,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,17/06/2026,Turquia,Bélgica,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,18/06/2026,Bélgica,Brasil,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,18/06/2026,Turquia,França,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,19/06/2026,França,China,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,19/06/2026,Bélgica,Alemanha,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,20/06/2026,China,Brasil,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,20/06/2026,Turquia,Alemanha,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,21/06/2026,Bélgica,França,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,21/06/2026,Alemanha,Brasil,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 4 - Ancara (TUR),Ancara - Ankara Arena,21/06/2026,Turquia,China,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,17/06/2026,Rep. Dominicana,EUA,0-3,,,,,,Realizado
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,17/06/2026,Rep. Tcheca,Itália,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,17/06/2026,Japão,Sérvia,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,18/06/2026,Rep. Tcheca,EUA,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,18/06/2026,Sérvia,Itália,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,19/06/2026,Rep. Dominicana,Sérvia,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,19/06/2026,Japão,Rep. Tcheca,-,,,,,,Próximo Jogo
Feminino,Semana 2,Fase Preliminar,Pool 5 - Pasig City (PHI),Pasig City - SM Seaside Arena,20/06/2026,EUA,Itália,-,,,,,,Próximo Jogo
